UST Yield - US 30Y Mortgage Yield Spread,(-) ASIA HY Credit Spread,(-) DE-US 10Y Yield Spread,IT-DE 10Y Yield Spread,(-) US 10Y High Yield Spread (Baa),(-) EMBI+ Credit Spread(Global),US CP Spread(3m),(-) China CDS 5Y
1.679546575,-1.060499657,-1.095367276,0.557102053,-1.465897216,0.306635331,-1.562624247,-0.37199015
2.207123127,-0.780126051,-1.391460988,0.66773255,-1.205712919,0.521678229,-1.092928336,-0.219643851
1.269209256,-0.851269039,-1.425631799,0.604682125,-1.173189881,1.001892269,-0.07151499,-0.167789378
-0.37214002,-0.691526792,-1.44528288,0.503228435,-0.937397862,0.901999031,0.213106711,0.013026722
-1.661771594,-0.699284258,-1.658405951,0.609262561,-0.571513694,1.298847622,0.344901981,0.602140588
-0.841096956,-0.785074099,-1.595027748,0.37979571,-0.343852433,1.372405371,0.384160147,0.550562856
-0.606618488,-0.530269354,-1.416683253,0.354406392,-0.091798895,1.384574183,0.168941274,0.226498341
-0.196281169,-0.631408403,-1.425597145,0.317116364,0.371654385,1.379851957,0.253766954,0.048207509
-0.137661552,-0.58274076,-1.393135009,0.510647739,0.802584627,1.327180977,0.07079586,0.006557885
0.038197299,-0.596282786,-1.635073624,0.466811467,0.558661848,1.114499192,-0.065906681,0.064396898
0.21405615,-0.461178189,-1.731299149,0.649517806,0.664361719,1.135749208,-0.035060979,0.212868813
-0.137661552,-0.542296189,-1.778834134,0.437355077,0.558661848,0.979552508,0.100940523,0.194084971
-0.430759637,-0.729043571,-1.822543929,0.139640418,-0.002360543,0.813729733,0.063084435,-0.137140236
-0.489379254,-0.552208068,-1.573157522,-0.835789764,0.038293253,1.009338856,-0.081329532,-0.335045135
-1.485912743,-1.024616444,-1.791233348,-1.201967366,-1.449635697,0.060353092,-0.503354813,-0.964874622
-2.247967764,-2.0119217,-1.715469259,-1.929220803,-2.075704163,-0.923322868,-1.01160785,-2.068209135
-2.482446232,-0.996040875,-1.726862195,-2.008752373,-2.22205783,-1.133825165,-1.226826723,-2.62975261
-2.834163934,-1.360933771,-1.773756094,-3.270995914,-1.937481255,-0.93458356,-1.66637797,-2.445408054
-2.365206998,-1.175354348,-1.871367751,-3.060671506,-1.88056594,-1.021036617,-2.097516754,-2.254179549
-1.720391211,-0.90089946,-1.741929712,-3.096624055,-1.376458864,-1.128739691,-1.818503362,-2.377329599
