SPX YOY,GS FCI,ST FED Financial Stress Index,US M2 Growth
0.486206653,-1.944470932,-1.539929821,0.9953483
0.350057827,-1.764362772,-1.162983254,0.97739218
-0.307988755,-1.488196927,-0.973599471,0.869655457
-0.330017338,-1.260059925,-0.452794068,0.815787096
-0.132729499,-0.80378592,-0.12865644,0.761918735
-0.094076095,-0.815793131,-0.095878477,0.779874855
0.04481232,-0.815793131,0.106252291,0.708050374
0.244953529,-0.563641707,0.275605097,0.582357531
0.854937246,-0.407547969,0.295636074,0.54644529
0.1661527,-0.383533548,0.047980358,0.420752447
-0.006749206,-0.155396546,0.470451873,0.366884086
0.654871341,-0.035324439,0.288352082,0.330971845
0.643709104,-0.299483073,-0.006649579,0.223235123
0.976923748,-0.119374914,0.208228174,-0.099975045
-0.193906537,-0.671706603,-1.685609654,-0.387272971
-0.569651149,-0.947872448,-1.856783458,-0.35136073
-0.704108458,-0.911850816,-1.507151859,-0.315448489
-0.767798395,-0.839807552,-2.027957262,-0.369316851
-0.951595999,-0.899843606,-1.507151859,-0.405229091
-0.844322469,-0.599663339,-1.071933358,-0.495009693
-0.76111903,-0.227439809,-0.549306957,-0.459097453
-0.409061768,-0.23944702,-0.234274318,-0.423185212
-0.611651309,-0.323497495,-0.449152072,-0.405229091
-0.945020157,-0.659699393,-0.649461842,-0.33340461
-0.723812146,-0.839807552,-0.725943755,-0.315448489
-0.740990215,-0.551634497,-0.392701137,-0.064062804
0.607748884,-0.359519126,-0.028501554,0.187322882
0.997075203,-0.143389335,0.361191999,0.079586159
0.667442128,-0.107367703,0.55239678,0.025717798
0.206606583,-0.359519126,0.37758098,0.007761678
0.265430592,-0.263461441,0.641625677,-0.135887285
0.216888621,-0.131382124,0.871071414,-0.028150563
0.045277889,-0.167403756,0.801873493,0.043673919
0.029462593,-0.143389335,0.880176404,0.025717798
0.171183445,0.036718825,0.800052496,0.079586159
0.937189112,0.120769299,0.809157485,0.09754228
0.941577738,-0.335504705,-0.097699475,0.133454521
0.976189738,-0.335504705,0.370296988,0.169366761
0.658731471,-0.455576812,0.284710086,0.187322882
0.478294235,-0.43156239,0.332056032,0.241191243
0.712355108,-0.179410967,0.519618817,0.133454521
1.418608185,-0.107367703,0.758169544,0.259147363
1.350816738,-0.04733165,0.734496571,0.366884086
1.008835343,-0.035324439,0.696255615,0.330971845
0.756908066,-0.023317228,0.747243556,0.187322882
0.75805619,0.144783721,0.827367464,0.241191243
0.632257532,0.240841406,0.83100946,0.223235123
0.337732741,0.408942355,0.960300312,0.169366761
0.768246036,0.517007251,1.167894074,0.187322882
0.594116943,0.601057725,1.002183264,0.169366761
0.526425806,0.50500004,0.814620479,0.223235123
0.585343812,0.420949565,0.668940646,0.259147363
0.114735451,0.168798142,0.210049172,0.366884086
0.286010723,0.264855827,0.444957903,0.313015725
0.200560918,0.096754878,0.073474329,0.295059604
0.000648077,-0.011310018,-0.367207166,0.277103484
0.282431885,-0.011310018,0.148135243,0.223235123
0.028151581,-0.215432599,0.038875368,0.259147363
0.092488491,-0.095360492,0.295636074,0.277103484
0.040130965,-0.23944702,0.281068091,0.348927965
-0.296373163,-0.491598444,0.160882228,0.366884086
-0.440001904,-0.695721025,-0.0758475,0.384840206
-0.622823708,-1.019915712,-0.552948953,0.348927965
-1.173129535,-1.404146453,-0.745974732,0.330971845
-0.577994767,-1.079951765,-0.614862882,0.384840206
-0.813325507,-1.103966187,-0.32896621,0.295059604
-0.964699082,-1.308088767,-0.90440155,0.330971845
-1.425332373,-1.932463721,-1.487120882,0.241191243
-1.693089733,-1.92045651,-1.660115684,0.330971845
-1.202218365,-1.248052714,-0.631251863,0.259147363
-1.042672998,-0.79177871,-0.578442924,0.187322882
-1.151502523,-0.887836395,-0.498319016,0.133454521
-1.026519064,-0.767764288,-0.780573692,0.1154984
-0.740586756,-0.467584022,-0.647640844,0.1154984
-0.387777024,-0.335504705,-0.716838765,0.061630039
-0.027081973,-0.491598444,-0.871623588,0.061630039
-0.465318046,-0.623677761,-0.503782009,0.025717798
-0.617595307,-0.971886869,-0.358102176,0.061630039
-0.16333647,-0.911850816,-0.053995525,0.09754228
0.623080387,-0.779771499,-0.055816523,0.187322882
0.944191289,-0.551634497,0.093505306,0.205279002
0.492755598,-0.479591233,0.381222976,0.205279002
0.203733568,-0.407547969,0.373938984,0.241191243
0.399698859,-0.263461441,0.721749585,0.277103484
0.470892691,0.012704404,0.82190447,0.330971845
0.249040927,0.144783721,0.878355406,0.330971845
0.129341445,0.228834195,0.603384721,0.384840206
0.362644378,0.372920723,0.798231498,0.402796327
0.685877338,0.372920723,1.013109251,0.438708567
0.726886586,0.432956776,1.007646258,0.492576929
0.623971749,0.637079357,0.896565385,0.474620808
0.968092939,1.009302887,0.920238358,0.56440141
0.411576805,0.733137042,0.191839193,0.618269771
0.248318031,0.613064936,-0.405448122,0.636225892
0.101482693,0.468978408,-0.405448122,0.690094253
0.127595775,0.240841406,0.068011335,0.672138133
