 US1.5y 3m - 3m Spread,US 10Y - 2Y Yield Spread,US 10Y - 1Y Yield Spread, US 10Y - 3m Spread,US 30Y - 5Y Spread,Real US 30Y - 5Y Spread
0.887300423,1.566968892,1.611360368,1.621756432,1.072316658,0.631424082
0.47741293,1.454608653,1.425116062,1.375603784,1.206097836,0.797334801
0.185644785,1.207332022,1.146034039,1.070793744,1.339068764,0.963245519
0.072677654,1.20022993,1.108214275,1.030943085,1.375054126,0.797334801
-0.252866136,1.173608765,1.003795969,0.914159508,1.793863036,1.178929453
-0.014719213,1.355915268,1.217376559,1.150811742,1.981107812,1.278475884
0.526454404,1.79668887,1.72264576,1.698444178,1.528615678,1.046200878
0.493251227,1.900533607,1.82396575,1.766050346,1.596650905,1.427795531
1.117623609,1.95282977,2.020845913,1.994775354,1.415862401,1.378022315
0.933288731,1.853914446,1.886602512,1.862423358,1.426035533,1.543933034
1.176015403,1.84829585,1.93015162,1.93410551,1.345679371,1.460977674
0.640948117,1.732139262,1.705985966,1.671076858,1.491125567,1.759616968
0.144045402,1.692236717,1.539347393,1.503951305,1.754186538,1.842572327
0.117711848,1.696780654,1.530661952,1.503093203,1.844664387,1.759616968
-0.373466181,1.086876799,0.896066022,0.80924634,1.706240351,1.3282491
-0.433002912,0.730884424,0.571382892,0.477416307,1.27806856,1.145747309
-0.198481623,0.843046086,0.730453448,0.646554313,0.987227611,0.946654447
-0.277100639,0.722041852,0.605261192,0.518574549,1.039790932,0.963245519
-0.252293668,0.683202285,0.572601901,0.494455758,1.015933589,0.847108016
-0.367741495,0.662480062,0.534731345,0.430884712,1.137895415,1.013018735
-0.409340878,0.645460739,0.513581534,0.397980591,1.261297684,1.295066956
-0.214892388,0.806168939,0.686020559,0.610248432,1.245465668,1.411204459
-0.381289918,0.7086203,0.559009947,0.475260836,1.277657005,1.3282491
-0.467160203,0.440282695,0.301514547,0.22104816,1.109163714,1.245293741
