S&P500 12MF EPS YoY,S&P500 12MF EPS Drawdown(12M)\,EM 12MF EPS YoY,US BEI 5Y5Y,Copper/금 Ratio,독일 제조업 3개월후 수출기대지수???,미국 CEO Confidence Index???,독일 ZEW 현재 경제 상황,WTI YOY???,LME YOY???,Citi Macro Risk Index???,US State Coincident Index,컨퍼런스보드,미시간대,NFIB Small Business,MFG ISM,NON MFG ISM,Philly FED,NAHB,EM/CN,DM/EU,American Association of Individual Investors % Bullish,StateStreet Investor Confidence Index,Credit Managers' Index,Homebuyer Confidence,China MFG PMI,ISM New Order Index - Inventory Index,ISM New Order Index,"New York Fed, Weekly Economic Index",엠파이어스테이트 제조업 지수,미국 경기 선행지수 LEI,경기 체감 지수,내구재 구입 여건,실업률 서베이,미국 존슨 레드북 지수,Sahm Rule Recession Indicator
1.911158389,0.439026517,3.055396919,1.378240527,0.540078992,1.338569963,-0.80597503,-0.825059209,0.008558385,0.964554566,-0.919240059,0.408687976,-1.712679521,-0.492119981,-1.30871669,0.556433967,-0.578120753,0.266069305,-1.91356126,0.179878983,0.730485926,-0.361830489,-0.435172478,-0.387312215,0.587266558,0.884578543,0.839842384,0.386727453,0.940217772,0.947135752,1.375368172,-1.112187266,0.183944478,-0.448430123,-0.235617591,0.009026259
1.750984242,0.439026517,2.783267426,0.973805191,1.081484179,1.38463776,-2.52456861,-0.773735948,0.26958246,0.950616298,-0.269983739,0.408687976,-1.846644254,-1.125650312,-1.5043987,0.457554901,-0.513862082,-0.183557201,-2.012593646,0.105933432,0.787002363,-0.902815473,-0.060787275,-0.855657838,0.529545368,0.35061616,-0.124197936,-0.204663251,0.878456835,-0.037046412,1.199433903,-0.998962908,-0.462409545,-0.691460435,-0.296846562,0.233149155
1.644026703,0.439026517,2.550072879,0.565202806,1.544718564,1.32755375,-1.97774338,-1.16423902,-0.001376629,0.532791908,0.081469436,0.272458651,-1.757334432,-1.040664536,-1.468820153,0.5317142,-1.220707464,-0.433349704,-2.062109838,0.085827975,0.863135553,-0.842542117,-0.021788816,-0.727927213,0.587266558,0.647261928,-0.681533746,-0.310810301,0.746111969,0.281964358,1.023499635,-0.606791035,-0.462409545,-0.81297559,-0.322751127,0.253523964
1.506911503,0.439026517,2.03925909,1.005058065,1.628679796,1.607966431,-2.227720628,-1.362837725,0.022658316,0.873136972,0.240146226,0.272458651,-1.94407315,-1.094746393,-1.397663058,0.25979677,-0.931543444,-0.395880828,-2.062109838,0.112409709,0.949045582,0.538897919,-0.676962922,-0.51504284,0.414102988,1.893174155,-1.540132156,-0.62925145,0.70640851,0.275176895,0.973232701,-0.515486979,-0.534226659,-1.177521057,-0.329816008,0.212774347
1.225872751,0.439026517,1.91818981,1.450006385,1.761859682,1.552885369,-1.774636866,-1.367300617,0.00692288,1.159431641,0.441561176,0.068114663,-1.891299165,-1.133376291,-0.935141944,0.655313032,-0.288956734,-0.645673331,-1.963077453,0.171904463,1.034387924,1.593260162,-0.66916323,-0.046697217,0.529545368,2.427136538,-0.606218096,0.26541654,0.516714202,0.634912445,0.847565366,-0.645371712,-0.677860886,-1.056005902,-0.376915217,0.212774347
1.048587482,0.439026517,1.630261308,1.784759387,1.753174037,1.368614178,-0.680986406,-1.559204984,0.001297423,0.928368567,0.656615966,-0.136229325,-1.570595714,-0.832063085,-0.686092114,0.754192098,0.064465957,0.534596246,-1.91356126,0.233815737,1.11077342,1.026774912,-0.029588508,-0.004120343,0.587266558,2.723782306,-0.124197936,0.341235861,0.485833733,-0.899054239,0.797298432,-0.407292056,-0.103323976,-0.691460435,-0.334525929,0.144858317
1.076968672,0.439026517,1.741211625,2.163960921,2.29168401,1.486788094,-0.665362828,-1.329366033,0.289375011,0.891440682,1.003522528,0.408687976,-1.343261623,-0.608009675,-0.775038482,0.581153733,0.225112635,0.30353818,-1.91356126,0.281082893,1.170002141,2.729813345,0.578787447,0.336494655,0.414102988,1.952503309,0.628958564,0.538366096,0.618178599,0.410926159,0.847565366,-0.152563845,0.183944478,-0.691460435,-0.17674358,0.185607935
0.976684566,0.439026517,1.712792593,1.989176332,2.876517421,1.741162455,-0.040419708,-1.112915759,0.157946789,0.884609992,1.20539214,0.408687976,-1.2864281,-0.631187614,-0.525988651,1.199147892,0.450017983,0.365986306,-1.91356126,0.321390468,1.200720338,1.803373925,0.313597928,0.591955904,0.471824178,1.359211772,1.351988803,1.281395443,0.472599247,0.254814506,0.721898031,0.15787231,-0.390592431,-0.569945279,-0.334525929,0.253523964
0.974695917,0.439026517,1.652324037,1.724105662,3.116820258,1.540867683,0.178310384,-0.666626534,0.234668703,1.587413286,0.977606835,0.408687976,-0.994141411,-0.376230286,-0.383674462,1.223867659,0.578535326,1.140343065,-1.91356126,0.357396635,1.189114284,0.920558927,-0.388374328,0.591955904,0.587266558,0.943907696,1.668314533,1.23590385,0.322608399,0.424501086,0.8978323,0.043660977,-0.103323976,0.280660811,-0.38869002,0.416522434
0.999722978,0.439026517,1.501175904,1.78915794,2.43354954,1.461751248,-0.399762002,-0.546128443,0.463046802,0.901965366,0.473387467,0.408687976,-1.327023473,-1.148828251,-0.792827755,1.026109528,-0.128310056,1.608704009,-1.864045067,0.386781533,1.135373208,-0.292916547,0.040608718,0.293917781,0.702708938,1.65585754,1.095915594,0.796151787,0.274081948,0.444863475,0.721898031,-0.463786034,-0.17514109,-0.448430123,-0.487598358,0.301065184
