(-) MOVE Index,(-) VIX Index,VVIX/VIX,SKEW Index,CBOE P/C Ratio
-0.991735154,-1.699674902,-1.6031481,-0.816341905,-0.280011665
-0.298583035,-1.045479853,-1.372672396,-1.099346295,0.184178796
-0.684885879,-0.922160327,-1.436675374,-1.042745417,-0.16396405
-0.989746296,-0.586791371,-1.343155512,-0.830203345,0.532321642
-0.64954641,-0.263453588,-1.038977525,-1.167498372,0.184178796
-0.87126467,-0.222848378,-1.030333151,-0.96304214,0.532321642
-1.581874057,0.157637478,-0.537875892,-0.656935351,1.34465495
-1.074062492,0.195234895,-0.574481286,-0.256108726,1.112559719
-1.00647198,0.178692031,-0.477962964,0.090427262,0.648369257
-0.875238005,-0.316089971,-0.964991905,-0.611885673,0.184178796
-0.336007739,0.357655734,-0.237330058,-0.088616332,0.416274027
-0.187671336,0.256894658,-0.161465212,-0.40742944,-0.16396405
-0.291017489,-0.079978195,-0.573645788,-0.9607319,-1.440487819
-0.605322791,-0.092009368,-0.643615396,-0.67888263,-0.280011665
-1.086468762,-2.468166097,-1.774307751,-0.830203345,-1.904678281
-1.134109362,-2.693750597,-2.110772358,-1.043900537,-1.092344973
-1.416592934,-2.137308831,-1.904927152,-0.855615984,-0.628154512
-1.459480426,-2.003462028,-1.66146618,-0.780533186,-1.208392588
-0.828057383,-0.967277227,-1.380553767,-1.23680557,-0.976297358
-0.255572882,-0.242399035,-0.822062139,-0.624591992,0.300226411
-0.138041878,0.029806262,-0.131758568,-0.185646408,0.184178796
-0.273095861,0.368183011,0.551690122,-0.250333126,0.068131181
0.033643895,0.120040061,0.121395028,-0.95842166,-0.047916435
0.337273322,-0.358199078,-0.500649491,-1.108587254,-1.324440204
-0.314104014,-0.377749734,-0.52273884,-1.054296616,-1.092344973
0.394967732,0.157637478,-0.076909507,-1.249511889,-0.860249742
0.201470231,0.440370051,0.263242535,-0.887959343,-0.396059281
0.461953701,0.502029814,0.262557633,-0.541423355,-0.047916435
0.406221865,0.351640148,0.007848632,-0.67079679,-0.628154512
0.723922245,0.288476488,-0.224446857,-1.404297964,-0.628154512
0.866401591,0.196738791,-0.420470846,-1.090105335,-0.16396405
0.682208792,0.768219524,0.104900771,-0.807100945,-0.280011665
0.632583714,0.68400131,0.017731561,-0.347363202,-0.16396405
0.76406301,0.840406564,0.723953448,-0.316174963,-0.16396405
0.961095772,0.699040277,0.552841629,-0.922612941,-0.512106896
0.617518332,0.771227317,0.473762222,-1.135155013,0.416274027
-0.650886918,0.202754378,-0.165501249,-1.301492287,-0.628154512
-0.720593331,0.699040277,-0.010515333,-1.412383803,0.184178796
-0.614745773,0.662946757,0.178506578,-1.187135412,0.416274027
-0.742098407,0.590759717,-0.093302773,-1.043900537,0.532321642
0.101374591,0.482479158,-0.090188517,-0.027394974,0.416274027
0.362134049,0.856949427,-0.162204266,0.189767578,0.764416873
0.20399354,0.665954551,-0.30760581,0.482012927,0.880464488
0.398358428,0.658435067,-0.041698405,0.458910528,0.764416873
0.620251917,0.473455778,-0.081821462,0.178216379,0.300226411
0.649392632,0.568201267,-0.024159218,0.068479983,0.416274027
0.692398405,0.664450654,-0.390933082,-0.311554484,0.416274027
0.75677345,0.92312088,-0.191852848,-0.40742944,-0.047916435
0.756983726,1.064487166,0.5688864,0.201318778,1.34465495
0.850832424,0.95019102,0.625812902,0.907097072,0.532321642
0.689033993,0.771227317,0.588251495,0.304124454,-0.047916435
0.543970007,0.77423511,0.57270622,0.565181564,-0.16396405
0.03190912,0.083946542,0.197989921,-0.318485203,-0.628154512
0.317187606,0.78325849,0.46848157,0.248678696,0.416274027
0.266568099,0.350136251,0.60413454,0.484323167,-0.16396405
-0.426369363,-0.075466505,0.017411268,-0.057428093,-0.628154512
-0.818266418,0.408788221,0.266152869,0.1504935,0.068131181
-0.523402862,0.572712957,0.177180671,-0.394723121,-0.280011665
-0.060879438,0.771227317,0.353794992,-0.68696847,-0.16396405
-0.477199146,0.793785767,0.394356913,-0.534492635,-0.047916435
-0.531314487,0.643396101,0.439204878,-0.787463906,-0.047916435
-0.221468783,0.641892204,0.628130249,-0.607265193,-0.512106896
-0.376757427,-0.122087301,-0.120399745,-0.615351032,-1.67258305
-0.337795082,-0.86651615,-0.598916095,0.518976766,-1.788630665
-0.006939326,0.274941418,0.070839495,0.549009885,-0.744202127
0.136587018,0.362167424,0.086636344,0.871288353,-1.092344973
0.187802307,0.088458232,0.205126374,0.852806434,-0.976297358
0.016962018,-0.76725897,-0.770298371,0.823928435,-1.556535434
-0.492225101,-0.586791371,-1.012388181,-0.785153666,-1.440487819
-0.067030003,0.416307704,-0.115932276,-0.179870808,-0.860249742
0.305337691,0.649411687,0.429139101,-0.436307439,-0.628154512
0.337028,0.566697371,0.236346885,-0.392412881,-1.324440204
-0.009116556,0.127559545,0.18564549,0.95907747,-0.628154512
0.127383073,0.820855907,0.898194311,-0.082840732,0.068131181
0.362721069,0.935152053,1.126511444,0.483168047,-0.047916435
0.416350147,0.661442861,0.846922719,-0.120959691,-0.16396405
0.542787206,0.605798684,0.646229592,-0.618816392,-0.280011665
-0.140534522,0.508045401,0.575102604,-0.064358813,-0.280011665
-0.040408217,0.924624777,1.303448908,-0.318485203,0.068131181
-0.006746573,1.05395989,1.340870704,0.376897011,-0.512106896
0.243910887,1.065991063,1.375354858,0.775413397,-0.16396405
0.451571336,1.010346887,0.990530004,1.376075775,-0.047916435
0.280087078,0.8238637,1.012641728,1.165843942,-0.628154512
0.787009352,1.16675214,1.656120946,0.052308303,-0.047916435
0.962983873,1.219388523,2.037351633,0.259074776,-0.047916435
1.026552862,1.256985939,2.045509437,0.770792917,0.068131181
1.07676934,0.998315713,2.09590287,0.96369795,-0.628154512
1.018457245,1.2299158,2.576755703,1.072279226,0.068131181
0.925690592,1.276536596,2.895334438,1.432676653,-0.280011665
1.218433868,1.214876833,2.519103018,0.329537093,0.068131181
1.155351142,1.256985939,2.759997168,0.632178522,0.532321642
1.067469019,1.136674206,2.561104047,-0.14752745,0.880464488
0.449801515,-0.577767991,0.319149727,0.503960207,-0.512106896
0.674248979,-0.060427538,0.204912394,0.664521881,-0.16396405
0.96061389,0.052364712,-0.175293672,-0.186801528,-0.280011665
0.963750503,0.676481827,0.807054313,0.552475245,0.184178796
0.897268319,0.74265328,1.308153779,1.103467465,0.648369257
1.116358132,0.822359804,1.484739978,1.845054478,-0.047916435
1.102681446,0.912593603,1.5175463,1.980203513,0.184178796
1.164874881,0.858453324,1.252392307,1.937464074,0.300226411
0.894315697,-0.110056128,0.083529078,0.029205904,-0.512106896
0.831951413,-0.116071715,-0.261223483,-1.099346295,-0.744202127
0.634787229,-0.95223826,-1.214786549,-1.063537576,-1.324440204
0.832682998,-0.143141855,-0.907794156,-0.666176311,-0.16396405
1.188325009,0.509549297,-0.200111931,-0.235316566,0.300226411
1.127879491,0.620837651,0.31121967,-0.438617679,-0.047916435
1.090288319,0.852437737,0.744568239,-0.230696087,0.300226411
0.812838223,0.285468695,0.167376426,-1.183670052,-0.744202127
0.070875845,0.417811601,-0.102226143,-1.467829561,0.068131181
0.5369871,0.798297457,0.62099617,-0.561060394,-0.047916435
-0.356049646,-0.054411952,0.013064129,-1.533671399,-1.092344973
-0.258591215,0.459920708,0.598346283,-1.153636933,-0.16396405
-0.108331666,0.473455778,0.36385715,-0.580697434,-0.16396405
0.529184993,0.917105293,1.314368522,-0.192577128,0.648369257
0.668286785,0.730622107,1.22574381,1.034160267,0.648369257
0.692691914,0.703551967,0.876661932,0.395378931,0.996512104
0.042116255,-0.152165235,-0.204522827,0.440428609,0.532321642
-1.800801782,-5.883515421,-2.08142271,-0.863701823,-2.368868742
0.246732087,-3.433667756,-1.738774033,-0.519476076,-0.280011665
0.857754001,-1.847056775,-1.191074667,0.004948385,0.532321642
0.773915305,-1.880142502,-1.101394009,0.580198124,1.34465495
1.21573971,-1.23647473,-0.926140577,1.366834815,1.808845411
1.291710587,-0.642435547,-0.494279897,1.50775945,2.156988257
1.430663434,-1.358290359,-1.131906231,0.464686128,0.996512104
0.832481483,-1.627487862,-1.112773387,-0.498683917,1.460702565
1.286247799,-0.959757743,-0.653005275,0.379207251,2.040940642
1.254570632,-0.564232921,-0.346585762,1.459244412,2.273035873
1.269833148,-0.946222673,-0.494034432,1.590928087,2.505131103
0.882575301,-0.680032964,-0.362286026,1.269804739,2.273035873
0.352128427,-0.484526397,-0.311547372,1.522776009,1.808845411
0.577009585,0.180195928,0.38568443,1.199342421,1.808845411
0.816158828,-0.171715891,0.294970176,1.78960872,1.228607334
0.877506779,0.249375175,0.885742601,3.265852026,2.273035873
0.552823492,0.153125788,0.864321164,3.017501235,1.112559719
0.572068104,0.172676445,0.822517979,2.979382276,1.460702565
0.783333907,-0.180739271,0.22502047,2.31980878,1.57675018
0.402047015,0.112520578,0.34697437,1.23399602,1.808845411
-0.133608564,0.017775088,0.512603888,2.132679347,2.156988257
-0.17399027,-0.410835461,0.267730022,2.214692864,1.112559719
-0.272412465,-0.68604855,-0.036531801,0.990265709,0.532321642
-0.75328683,-1.072549993,-0.447219769,0.230196777,0.416274027
-1.635774742,-1.256025386,-0.856182033,0.883994673,0.996512104
-2.135214703,-0.865012253,-0.600515463,1.117328904,0.184178796
-1.834997876,-1.607937206,-1.306557861,-0.544888715,-0.628154512
-2.124271603,-1.445516366,-1.540333053,-0.823272625,-0.744202127
-2.597777554,-0.959757743,-1.539481149,-0.933009021,-0.280011665
-2.114134559,-0.534154987,-1.142446459,-0.492908317,-0.047916435
-2.607323197,-1.311669563,-1.527035643,-0.976903579,-1.440487819
-3.341343285,-1.713209972,-1.789628121,-1.196376371,-0.628154512
-2.447079931,-0.70409531,-1.474154382,-1.481691001,-2.368868742
-2.106604058,-0.475503017,-1.236900719,-1.22756461,-4.573773434
-1.716262167,-0.233375655,-1.147203701,-1.127069174,-0.860249742
-1.550512304,-0.225856171,-0.855977214,-0.69158895,-0.280011665
-3.357008829,-0.454448464,-0.8165067,-0.271125285,-1.092344973
-2.490734053,0.120040061,-0.423921319,0.361880452,-0.744202127
