,OECD CLI
,OEUSKLAC Index
1990-01-31, 99.79 
1990-02-28,99.8241
1990-03-31,99.8219
1990-04-30,99.7422
1990-05-31,99.5659
1990-06-30,99.2723
1990-07-31,98.867
1990-08-31,98.3816
1990-09-30,97.8908
1990-10-31,97.4655
1990-11-30,97.1726
1990-12-31,97.0583
1991-01-31,97.1219
1991-02-28,97.3458
1991-03-31,97.6768
1991-04-30,98.0525
1991-05-31,98.4267
1991-06-30,98.7669
1991-07-31,99.0259
1991-08-31,99.1647
1991-09-30,99.1904
1991-10-31,99.1362
1991-11-30,99.058
1991-12-31,99.0209
1992-01-31,99.0704
1992-02-29,99.1976
1992-03-31,99.3696
1992-04-30,99.5247
1992-05-31,99.6242
1992-06-30,99.6552
1992-07-31,99.6459
1992-08-31,99.6377
1992-09-30,99.6742
1992-10-31,99.78
1992-11-30,99.932
1992-12-31,100.0682
1993-01-31,100.1347
1993-02-28,100.1175
1993-03-31,100.023
1993-04-30,99.8827
1993-05-31,99.7212
1993-06-30,99.5858
1993-07-31,99.5118
1993-08-31,99.5251
1993-09-30,99.6319
1993-10-31,99.8218
1993-11-30,100.0631
1993-12-31,100.3301
1994-01-31,100.58
1994-02-28,100.7838
1994-03-31,100.9368
1994-04-30,101.0347
1994-05-31,101.0786
1994-06-30,101.075
1994-07-31,101.039
1994-08-31,100.9864
1994-09-30,100.9185
1994-10-31,100.8278
1994-11-30,100.6908
1994-12-31,100.4961
1995-01-31,100.238
1995-02-28,99.9179
1995-03-31,99.5673
1995-04-30,99.2394
1995-05-31,98.9813
1995-06-30,98.8099
1995-07-31,98.7109
1995-08-31,98.6491
1995-09-30,98.5953
1995-10-31,98.5502
1995-11-30,98.5288
1995-12-31,98.546
1996-01-31,98.6134
1996-02-29,98.7379
1996-03-31,98.9069
1996-04-30,99.0839
1996-05-31,99.251
1996-06-30,99.3878
1996-07-31,99.4843
1996-08-31,99.5612
1996-09-30,99.6343
1996-10-31,99.7086
1996-11-30,99.7928
1996-12-31,99.883
1997-01-31,99.9887
1997-02-28,100.1186
1997-03-31,100.259
1997-04-30,100.4049
1997-05-31,100.5474
1997-06-30,100.68
1997-07-31,100.7911
1997-08-31,100.8641
1997-09-30,100.9054
1997-10-31,100.9199
1997-11-30,100.9089
1997-12-31,100.8824
1998-01-31,100.8469
1998-02-28,100.795
1998-03-31,100.7046
1998-04-30,100.5711
1998-05-31,100.3994
1998-06-30,100.2015
1998-07-31,100.0089
1998-08-31,99.8468
1998-09-30,99.7483
1998-10-31,99.7489
1998-11-30,99.8522
1998-12-31,100.0211
1999-01-31,100.23
1999-02-28,100.4428
1999-03-31,100.6341
1999-04-30,100.8016
1999-05-31,100.945
1999-06-30,101.054
1999-07-31,101.132
1999-08-31,101.1889
1999-09-30,101.2392
1999-10-31,101.2913
1999-11-30,101.346
1999-12-31,101.3849
2000-01-31,101.381
2000-02-29,101.3172
2000-03-31,101.2207
2000-04-30,101.0999
2000-05-31,100.9525
2000-06-30,100.7868
2000-07-31,100.6031
2000-08-31,100.3865
2000-09-30,100.1336
2000-10-31,99.8275
2000-11-30,99.4783
2000-12-31,99.1014
2001-01-31,98.7566
2001-02-28,98.4913
2001-03-31,98.3184
2001-04-30,98.2288
2001-05-31,98.1998
2001-06-30,98.1753
2001-07-31,98.1295
2001-08-31,98.0651
2001-09-30,98.0232
2001-10-31,98.0746
2001-11-30,98.2459
2001-12-31,98.5154
2002-01-31,98.8278
2002-02-28,99.1243
2002-03-31,99.3483
2002-04-30,99.4438
2002-05-31,99.388
2002-06-30,99.19
2002-07-31,98.9037
2002-08-31,98.5977
2002-09-30,98.3134
2002-10-31,98.0896
2002-11-30,97.9418
2002-12-31,97.8429
2003-01-31,97.771
2003-02-28,97.7371
2003-03-31,97.7734
2003-04-30,97.9069
2003-05-31,98.1337
2003-06-30,98.4259
2003-07-31,98.7683
2003-08-31,99.1497
2003-09-30,99.5583
2003-10-31,99.9724
2003-11-30,100.3583
2003-12-31,100.6819
2004-01-31,100.9257
2004-02-29,101.0714
2004-03-31,101.1384
2004-04-30,101.1385
2004-05-31,101.0953
2004-06-30,101.0179
2004-07-31,100.9118
2004-08-31,100.7932
2004-09-30,100.6891
2004-10-31,100.6181
2004-11-30,100.5886
2004-12-31,100.5728
2005-01-31,100.5334
2005-02-28,100.4632
2005-03-31,100.3739
2005-04-30,100.3037
2005-05-31,100.2784
2005-06-30,100.3018
2005-07-31,100.3581
2005-08-31,100.4419
2005-09-30,100.5623
2005-10-31,100.7288
2005-11-30,100.9252
2005-12-31,101.1101
2006-01-31,101.2508
2006-02-28,101.337
2006-03-31,101.3624
2006-04-30,101.3231
2006-05-31,101.2472
2006-06-30,101.1748
2006-07-31,101.1261
2006-08-31,101.1254
2006-09-30,101.1856
2006-10-31,101.2965
2006-11-30,101.4327
2006-12-31,101.577
2007-01-31,101.7136
2007-02-28,101.8417
2007-03-31,101.9682
2007-04-30,102.0831
2007-05-31,102.1688
2007-06-30,102.2106
2007-07-31,102.1913
2007-08-31,102.1071
2007-09-30,101.9859
2007-10-31,101.8495
2007-11-30,101.7059
2007-12-31,101.5724
2008-01-31,101.4472
2008-02-29,101.3083
2008-03-31,101.151
2008-04-30,100.9515
2008-05-31,100.6742
2008-06-30,100.282
2008-07-31,99.7415
2008-08-31,99.0386
2008-09-30,98.1877
2008-10-31,97.2521
2008-11-30,96.3568
2008-12-31,95.6041
2009-01-31,95.0586
2009-02-28,94.7579
2009-03-31,94.7195
2009-04-30,94.9323
2009-05-31,95.3286
2009-06-30,95.8354
2009-07-31,96.3892
2009-08-31,96.9487
2009-09-30,97.4826
2009-10-31,97.9724
2009-11-30,98.4206
2009-12-31,98.8323
2010-01-31,99.1875
2010-02-28,99.4508
2010-03-31,99.6262
