,S&P 500 Growth Total Return Index,S&P 500 High Beta Total Return Index,S&P 500 Quality U.S. Dollar Gross Total Return Index,S&P 500 QVML Multi-Factor Index (USD) TR,S&P 500 Value Total Return Index,S&P 500 Revenue-Weighted Index (TR),S&P 500 Minimum Volatility Total Return Index,S&P 500 Equal Weighted USD Total Return Index,S&P 500 Buyback Total Return Index,S&P 500 Low Volatility Total Return Index,S&P 500 Momentum U.S. Dollar Gross Total Return Index,S&P 500 Enhanced Value Total Return Index,S&P 500 Pure Growth Total Return Index,S&P 500 Dividend Aristocrats Total Return Index,S&P 500 Pure Value Total Return Index,S&P 500 Low Volatility High Dividend Index,S&P 500 High Dividend Total Return Index,S&P 100 Total Return 4 JAN 1988 Index,S&P 500 Total Return Index
,SPTRSGX Index,SP5HBIT Index,SPXQUT Index,SPXQLMUT Index,SPTRSVX Index,REVWLT Index,SP5MVT Index,SPXEWTR Index,SPBUYUT Index,SP5LVIT Index,SP500MUT Index,SPXEVUT Index,SPTRXPG Index,SPDAUDT Index,SPTRXPV Index,SP5LVHDT Index,SPXHDUT Index,SPTR100 Index,SPXT Index
2000-01-01,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2000-01-02,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2000-01-03,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2000-01-04,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2000-01-05,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2000-01-06,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2000-01-07,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2000-01-08,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2000-01-09,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
