,NFCIADJ Index
#NAME?,0.553249
1971-01-15,0.596683
1971-01-22,0.662171
1971-01-29,0.743038
1971-02-05,0.831094
1971-02-12,0.914715
1971-02-19,0.983836
1971-02-26,1.033089
1971-03-05,1.06244
1971-03-12,1.075133
1971-03-19,1.080679
1971-03-26,1.095745
1971-04-02,1.136799
1971-04-09,1.218834
1971-04-16,1.34679
1971-04-23,1.512657
1971-04-30,1.695536
1971-05-07,1.863953
1971-05-14,1.978949
1971-05-21,2.010136
1971-05-28,1.941761
1971-06-04,1.770979
1971-06-11,1.508499
1971-06-18,1.189801
1971-06-25,0.859645
1971-07-02,0.570641
1971-07-09,0.380936
1971-07-16,0.3392
1971-07-23,0.472954
1971-07-30,0.779792
1971-08-06,1.220144
1971-08-13,1.726732
1971-08-20,2.221401
1971-08-27,2.623668
1971-09-03,2.885431
1971-09-10,2.978864
1971-09-17,2.91451
1971-09-24,2.720215
1971-10-01,2.440252
1971-10-08,2.122314
1971-10-15,1.816432
1971-10-22,1.563066
1971-10-29,1.391802
1971-11-05,1.3153
1971-11-12,1.327808
1971-11-19,1.412455
1971-11-26,1.538515
1971-12-03,1.676221
1971-12-10,1.796654
1971-12-17,1.873421
1971-12-24,1.889543
1971-12-31,1.842516
1972-01-07,1.722835
1972-01-14,1.559489
1972-01-21,1.367883
1972-01-28,1.172931
1972-02-04,0.996585
1972-02-11,0.849111
1972-02-18,0.733789
1972-02-25,0.650453
1972-03-03,0.59618
1972-03-10,0.56808
1972-03-17,0.560603
1972-03-24,0.565575
1972-03-31,0.570446
1972-04-07,0.562493
1972-04-14,0.533424
1972-04-21,0.476525
1972-04-28,0.396832
1972-05-05,0.30275
1972-05-12,0.208524
1972-05-19,0.130986
1972-05-26,0.086358
1972-06-02,0.084554
1972-06-09,0.130607
1972-06-16,0.218906
1972-06-23,0.337339
1972-06-30,0.467108
1972-07-07,0.586893
1972-07-14,0.678641
1972-07-21,0.726777
1972-07-28,0.719908
1972-08-04,0.653949
1972-08-11,0.532936
