,S&P 500 Growth Total Return Index,S&P 500 High Beta Total Return Index,S&P 500 Quality U.S. Dollar Gross Total Return Index,S&P 500 QVML Multi-Factor Index (USD) TR,S&P 500 Value Total Return Index,S&P 500 Revenue-Weighted Index (TR),S&P 500 Minimum Volatility Total Return Index,S&P 500 Equal Weighted USD Total Return Index,S&P 500 Buyback Total Return Index,S&P 500 Low Volatility Total Return Index,S&P 500 Momentum U.S. Dollar Gross Total Return Index,S&P 500 Enhanced Value Total Return Index,S&P 500 Pure Growth Total Return Index,S&P 500 Dividend Aristocrats Total Return Index,S&P 500 Pure Value Total Return Index,S&P 500 Low Volatility High Dividend Index,S&P 500 High Dividend Total Return Index,S&P 100 Total Return 4 JAN 1988 Index
,SPTRSGX Index,SP5HBIT Index,SPXQUT Index,SPXQLMUT Index,SPTRSVX Index,REVWLT Index,SP5MVT Index,SPXEWTR Index,SPBUYUT Index,SP5LVIT Index,SP500MUT Index,SPXEVUT Index,SPTRXPG Index,SPDAUDT Index,SPTRXPV Index,SP5LVHDT Index,SPXHDUT Index,SPTR100 Index
2000-01-01,1686.3,10702.17,376.301,223.22,1895.642,3124.518,3295.37,1444.51,3380.72,3171.81,565.36,277.74,3876,413.17,1875.45,3459.1,4081.479,1081.7
2000-01-02,1686.3,10702.17,376.301,223.22,1895.642,3124.518,3295.37,1444.51,3380.72,3171.81,565.36,277.74,3876,413.17,1875.45,3459.1,4081.479,1081.7
2000-01-03,1688.69,10537.81,374.854,218.26,1854.259,3072.996,3226.06,1414.16,3305.46,3075.34,571.328,271.626,3861.18,400.71,1835.98,3361.67,3966.966,1076.18
2000-01-04,1612.14,9962.22,361.378,213.38,1798.166,2987.984,3147.09,1375.86,3208.62,3047.28,542.52,267.582,3638.33,391.02,1812.22,3318.82,3924.553,1035.55
2000-01-05,1604.86,9837.72,364.007,216.7,1815.019,3009.48,3154.94,1382.8,3224.13,3098.5,541.934,271.211,3592.02,392.36,1849.74,3362.4,4011.553,1039.12
2000-01-06,1585.97,9828.9,367.864,219.88,1843.281,3052.503,3198.3,1398.39,3235.88,3133,529.817,273.645,3539.61,398.99,1868.86,3410.22,4066.541,1040.75
2000-01-07,1641.45,10161.35,386.556,226.59,1877.442,3126.31,3250.57,1429.78,3316.94,3186.48,540.948,279.634,3715.82,409.04,1895.93,3461.56,4118.163,1069.2
2000-01-08,1641.45,10161.35,386.556,226.59,1877.442,3126.31,3250.57,1429.78,3316.94,3186.48,540.948,279.634,3715.82,409.04,1895.93,3461.56,4118.163,1069.2
2000-01-09,1641.45,10161.35,386.556,226.59,1877.442,3126.31,3250.57,1429.78,3316.94,3186.48,540.948,279.634,3715.82,409.04,1895.93,3461.56,4118.163,1069.2
2000-01-10,1674.75,10372.5,387.697,226.18,1879.694,3125.892,3268.07,1435.31,3327.49,3169.57,560.723,278.435,3840.57,401.43,1883.65,3417.31,4081.45,1079.34
2000-01-11,1649.51,10142.54,386.251,225.22,1859.531,3100.798,3255.07,1421.28,3284.86,3158.94,545.639,276.986,3740.26,400.06,1868.81,3412.39,4057.179,1071.61
2000-01-12,1626.64,10134.66,385.825,225.44,1871.318,3106.964,3248.83,1417.31,3289.25,3166.4,538.266,277.287,3730.5,401.25,1865.11,3416.5,4064.509,1068.18
2000-01-13,1642.25,10368.98,387.569,225.18,1899.336,3136.975,3275.01,1435.57,3318.72,3179.47,546.988,278.775,3806.51,406.61,1870.81,3442.26,4087.586,1075.31
2000-01-14,1664.38,10565.32,392.485,223.73,1913.811,3151.443,3274.1,1440.6,3330.71,3160.57,557.291,278.551,3887.33,407.22,1867.42,3433.09,4077.146,1088.36
2000-01-15,1664.38,10565.32,392.485,223.73,1913.811,3151.443,3274.1,1440.6,3330.71,3160.57,557.291,278.551,3887.33,407.22,1867.42,3433.09,4077.146,1088.36
2000-01-16,1664.38,10565.32,392.485,223.73,1913.811,3151.443,3274.1,1440.6,3330.71,3160.57,557.291,278.551,3887.33,407.22,1867.42,3433.09,4077.146,1088.36
2000-01-17,1664.38,10565.32,392.485,223.73,1913.811,3151.443,3274.1,1440.6,3330.71,3160.57,557.291,278.551,3887.33,407.22,1867.42,3433.09,4077.146,1088.36
2000-01-18,1662.74,10497.13,388.97,220.61,1888.502,3126.659,3261.52,1429.35,3296.02,3127.43,558.091,274.945,3944.29,401.5,1852.37,3409.16,4015.431,1085.85
2000-01-19,1665.06,10559.38,390.406,220.84,1887.828,3124.466,3266.8,1429.51,3291.65,3140.67,559.797,273.751,3945.81,402.77,1852.76,3408.82,4024.902,1078.59
2000-01-20,1663.46,10536.37,387.522,218.55,1861.589,3088.21,3245.1,1412.12,3248.35,3105.24,565.151,270.055,3956.85,394.28,1823.84,3365.89,3978.517,1069.07
2000-01-21,1657.78,10421.58,384.714,217.43,1857.209,3072.945,3244.62,1405.48,3225.5,3115.71,566.001,269.873,3942.56,390.72,1818.91,3352.28,3980.068,1064.22
2000-01-22,1657.78,10421.58,384.714,217.43,1857.209,3072.945,3244.62,1405.48,3225.5,3115.71,566.001,269.873,3942.56,390.72,1818.91,3352.28,3980.068,1064.22
2000-01-23,1657.78,10421.58,384.714,217.43,1857.209,3072.945,3244.62,1405.48,3225.5,3115.71,566.001,269.873,3942.56,390.72,1818.91,3352.28,3980.068,1064.22
2000-01-24,1599.41,10077.45,372.965,213.18,1821.735,3004.856,3194.7,1373.59,3161.26,3083.03,545.868,265.06,3778.86,381.71,1787.46,3303.45,3934.05,1035.52
2000-01-25,1616.96,10259.6,373.347,211.33,1822.915,2992.113,3163.42,1367.79,3147.24,3046.98,552.819,260.814,3838.46,378.35,1760.93,3264.4,3877.913,1047.22
2000-01-26,1597.11,10238.22,374.318,214.06,1831.79,3005.375,3170.19,1371.89,3165.26,3067.87,538.872,263.778,3762.41,382.79,1762.63,3288.25,3902.718,1041.07
2000-01-27,1587.21,10146.62,372.93,213.46,1829.42,3003.154,3157.32,1369.33,3160.96,3059.5,534.155,263.393,3704.53,382.34,1763.73,3278.14,3888.087,1036.74
2000-01-28,1540.93,9736.08,365.976,209.5,1782.897,2927.629,3084.04,1337.25,3075.57,3005.47,516.362,258.596,3589.63,373.6,1729.37,3225.11,3816.323,1007.41
2000-01-29,1540.93,9736.08,365.976,209.5,1782.897,2927.629,3084.04,1337.25,3075.57,3005.47,516.362,258.596,3589.63,373.6,1729.37,3225.11,3816.323,1007.41
2000-01-30,1540.93,9736.08,365.976,209.5,1782.897,2927.629,3084.04,1337.25,3075.57,3005.47,516.362,258.596,3589.63,373.6,1729.37,3225.11,3816.323,1007.41
2000-01-31,1573.95,10037.33,374.864,213.7,1835.328,2989.544,3122.02,1358.63,3128.47,3060.45,532.357,261.335,3688.33,380.17,1742.82,3275.17,3863.32,1029.55
2000-02-01,1603.86,10244.48,376.748,213.96,1838.031,3007.322,3125.34,1367.24,3160.41,3052.96,542.93,263.341,3795.83,380.51,1750.41,3269.87,3855.982,1046.79
2000-02-02,1606.7,10320.34,376.738,214.01,1834.392,3001.633,3119.08,1367.26,3175.49,3037.21,546.998,262.479,3823.09,379.11,1747.52,3252.97,3832.385,1042.84
2000-02-03,1636.91,10503.69,380.601,214.31,1839.896,3015.053,3137.77,1381.38,3202.83,3069.04,558.721,263.631,3923.89,379.61,1753.53,3260.38,3865.521,1053.97
2000-02-04,1646.93,10608.4,379.672,211.55,1825.595,2997.312,3132.68,1377.54,3191.99,3020.95,562.058,261.565,3969.71,375.04,1740.83,3210.37,3800.697,1058.82
2000-02-05,1646.93,10608.4,379.672,211.55,1825.595,2997.312,3132.68,1377.54,3191.99,3020.95,562.058,261.565,3969.71,375.04,1740.83,3210.37,3800.697,1058.82
2000-02-06,1646.93,10608.4,379.672,211.55,1825.595,2997.312,3132.68,1377.54,3191.99,3020.95,562.058,261.565,3969.71,375.04,1740.83,3210.37,3800.697,1058.82
2000-02-07,1647.32,10643.29,380.804,209.69,1824.811,2977.189,3104.12,1369.52,3169.08,2984.75,569.508,258.291,3982.28,372,1718.3,3179.39,3765.725,1057.02
2000-02-08,1678.63,10863.28,385.842,211.61,1833.341,2994.13,3114.37,1376.4,3181.88,2994.27,579.744,256.717,4055.74,374.39,1712.6,3189.07,3768.118,1068.04
2000-02-09,1646.79,10629.96,377.554,207.47,1792.03,2934.298,3076.58,1352.61,3114.55,2954.92,570.018,251.512,3976.2,368.03,1696.28,3140.59,3717.135,1045.52
2000-02-10,1664.19,10702.85,375.608,205.08,1784.096,2916.851,3046.75,1346.79,3106,2920.09,581.881,248.578,4050.39,362.52,1681.09,3096.23,3659.766,1050.32
2000-02-11,1618.01,10555.26,366.889,201.36,1761.467,2865.771,2996.47,1326.51,3062.07,2893.96,565.732,245.692,3991.76,358.28,1664.88,3057.08,3622.253,1027.33
2000-02-12,1618.01,10555.26,366.889,201.36,1761.467,2865.771,2996.47,1326.51,3062.07,2893.96,565.732,245.692,3991.76,358.28,1664.88,3057.08,3622.253,1027.33
2000-02-13,1618.01,10555.26,366.889,201.36,1761.467,2865.771,2996.47,1326.51,3062.07,2893.96,565.732,245.692,3991.76,358.28,1664.88,3057.08,3622.253,1027.33
2000-02-14,1624.6,10510.73,369.669,201.41,1760.979,2873.079,3009.41,1329.33,3049.36,2892.47,566.73,246.562,4001.18,357.88,1675.24,3052.58,3624.047,1033.84
2000-02-15,1632.57,10621.06,373.384,202.96,1784.249,2899.749,3033.64,1344.89,3071.27,2913.76,566.156,247.189,4037.04,363.61,1691.31,3083,3661.693,1042.39
2000-02-16,1609.95,10608.72,368.611,201.09,1774.144,2876.186,3035.78,1338.12,3047.32,2896.8,561.049,246.582,4084.63,359.15,1684.69,3075.23,3637.238,1030.35
2000-02-17,1619.41,10709.87,366.919,198.52,1763.725,2859.493,3036.72,1339.6,3053.21,2874.83,569.493,245.614,4145.35,356.46,1672.07,3044.99,3610.817,1027.61
2000-02-18,1567.81,10282.77,356.48,193.63,1713.246,2788.615,2970.36,1306.11,2955.51,2817.27,551.591,240.648,4006.69,349.58,1644.46,2975.5,3530.597,995.27
2000-02-19,1567.81,10282.77,356.48,193.63,1713.246,2788.615,2970.36,1306.11,2955.51,2817.27,551.591,240.648,4006.69,349.58,1644.46,2975.5,3530.597,995.27
2000-02-20,1567.81,10282.77,356.48,193.63,1713.246,2788.615,2970.36,1306.11,2955.51,2817.27,551.591,240.648,4006.69,349.58,1644.46,2975.5,3530.597,995.27
2000-02-21,1567.81,10282.77,356.48,193.63,1713.246,2788.615,2970.36,1306.11,2955.51,2817.27,551.591,240.648,4006.69,349.58,1644.46,2975.5,3530.597,995.27
2000-02-22,1572.98,10354.69,360.466,196.1,1723.488,2809.708,2991.11,1313.73,2978.25,2832.27,551.363,242.76,4006.59,352.65,1650.77,2999.66,3568.513,999.47
2000-02-23,1603.57,10538.45,359.256,193.45,1708.309,2787.142,2956.91,1307.07,2953.5,2795.37,566.945,239.089,4135.79,349,1617.84,2942.67,3507.117,1006
2000-02-24,1607.21,10620.02,354.832,187.65,1683.65,2750.952,2897.77,1291.79,2919.05,2716.2,571.584,235.818,4216.41,342.49,1582.69,2863.71,3419.149,998.98
2000-02-25,1582,10451.38,350.588,183.66,1660.788,2722.388,2893.58,1276.6,2894.08,2687.59,564.213,233.274,4161.79,338.67,1561.98,2849.82,3387.963,983.43
2000-02-26,1582,10451.38,350.588,183.66,1660.788,2722.388,2893.58,1276.6,2894.08,2687.59,564.213,233.274,4161.79,338.67,1561.98,2849.82,3387.963,983.43
2000-02-27,1582,10451.38,350.588,183.66,1660.788,2722.388,2893.58,1276.6,2894.08,2687.59,564.213,233.274,4161.79,338.67,1561.98,2849.82,3387.963,983.43
2000-02-28,1590.87,10553.65,352.594,187.73,1690.49,2762.482,2913.02,1289,2927.35,2734.84,566.18,235.951,4174.65,344.24,1580.91,2899.77,3439.243,994.43
2000-02-29,1607,10817.27,356.414,190.98,1720.654,2787.928,2937.74,1304.45,2967.56,2738.67,575.96,235.356,4294.68,345.26,1579.73,2887.28,3430.044,1009.32
2000-03-01,1620.15,10923.78,355.37,190.18,1739.925,2809.739,2964.93,1313.64,2990.7,2741.55,580.715,237.277,4301.52,347.17,1584.31,2896.68,3429.45,1016.32
2000-03-02,1624.81,10786.63,354.168,190.48,1741.137,2801.248,2961.6,1303.96,2945.88,2726.58,582.197,235.658,4226.35,344.67,1572.19,2868.72,3418.363,1025.5
2000-03-03,1666.18,11155.2,361.477,193.11,1763.99,2846.528,3013.07,1330.23,3011.53,2755.32,599.966,238.904,4367.25,348.93,1596.83,2898.97,3450.596,1046.95
2000-03-04,1666.18,11155.2,361.477,193.11,1763.99,2846.528,3013.07,1330.23,3011.53,2755.32,599.966,238.904,4367.25,348.93,1596.83,2898.97,3450.596,1046.95
2000-03-05,1666.18,11155.2,361.477,193.11,1763.99,2846.528,3013.07,1330.23,3011.53,2755.32,599.966,238.904,4367.25,348.93,1596.83,2898.97,3450.596,1046.95
2000-03-06,1643.34,11139.91,353.486,187.73,1744.211,2804.41,2995.88,1316.19,2960.35,2681.86,594.094,233.203,4359.02,343.64,1552.07,2846.21,3372.342,1029.42
2000-03-07,1588.44,10816.64,334.919,179.92,1715.99,2737.397,2932.87,1286.47,2895.59,2641.24,581.715,227.373,4289.44,329.36,1532.91,2807.97,3322.228,1001.14
2000-03-08,1612.24,10843.02,344.352,182,1716.569,2755.911,2938.29,1290.32,2911.6,2655.52,587.077,229.678,4330.71,332.71,1553.16,2828.51,3346.657,1011.6
2000-03-09,1666.55,11255.51,354.808,184.9,1743.893,2800.097,3015.01,1317.38,2959.63,2683.3,606.371,232.38,4477.08,340.17,1569.38,2857.08,3379.022,1035.01
